 id_proyecto;fecha_inicio;ubicacion;cliente;tecnico_encargado;tipo_proyecto;complejidad;indice_riesgo;experiencia_contratista;duracion_planificada_dias;retraso_dias;incidentes_ambientales;costo_presupuesto_inicial;costo_real_final;desviacion_coste_pct;coste_material_final;coste_maquinaria_final;coste_mano_obra_final;coste_adicional_final;tipo_material;diametro_tuberia_mm;longitud_tuberia_km;num_valvulas_compuerta;num_hidrantes;num_bocas_riego;m2_lona;tipo_lona;m2_geotextil;electrovalvulas;bombas;tipo_reparacion;complejidad_reparacion
HIDRO-2025-00602;2023-02-24 13:28:39.820200;Este;Comunidad de Regantes;TEC-0011;Red Agua Potable;1;2,5;2;110;2;2;852011,6;1179402,98;38,43;705201,2;36520,0;110290,4;327391,38;PE;110;36,52;10;3;73;0;;0;0;0;;0
HIDRO-2025-00964;2023-02-24 13:28:39.826860;Oeste;Municipal;TEC-0044;Impermeabilización;2;2,5;2;62;-3;2;193294,08;289941,12;50,0;89384,13;18408,96;85500,99;96647,04;;0;0,0;0;0;0;7191;vertederos;7910;0;0;;0
HIDRO-2025-00317;2023-02-26 13:28:39.814993;Sur;Privado;TEC-0036;Impermeabilización;1;2,1;3;80;-3;2;273936,37;333517,96;21,75;147290,6;30906,88;95738,89;59581,59;;0;0,0;0;0;0;12073;400gr;13280;0;0;;0
HIDRO-2025-00465;2023-02-26 13:28:39.817620;Oeste;Industrial;TEC-0019;Reparación;2;2,4;4;27;-4;0;30568,18;40497,84;32,48;29690,16;151,78;726,24;9929,66;FD;250;0,204;0;0;0;0;;0;0;0;Sustitución;2
HIDRO-2025-00618;2023-02-26 13:28:39.820484;Norte;Municipal;TEC-0024;Impermeabilización;1;2,5;1;94;-1;3;290171,6;413431,78;42,48;142409,46;36060,16;111701,98;123260,18;;0;0,0;0;0;0;14086;200gr;15495;0;0;;0
HIDRO-2025-01292;2023-02-27 13:28:39.832508;Oeste;Comunidad de Regantes;TEC-0029;Impermeabilización;2;2,4;5;75;-7;1;231651,84;264197,11;14,05;107121,74;22062,08;102468,02;32545,27;;0;0,0;0;0;0;8618;vertederos;9480;0;0;;0
HIDRO-2025-01473;2023-02-27 13:28:39.835617;Sur;Comunidad de Regantes;TEC-0027;Riego Agrícola;2;2,1;1;20;0;3;103793,3;136302,93;31,32;85902,6;150,0;17740,7;32509,63;;90;6,33;0;0;0;0;;0;12;1;;0
HIDRO-2025-00394;2023-02-28 13:28:39.816335;Norte;Municipal;TEC-0028;Riego Agrícola;1;2,2;4;14;-7;0;129651,8;136636,42;5,39;107482,6;5610,0;16559,2;6984,62;;110;5,46;0;0;0;0;;0;10;1;;0
HIDRO-2025-01174;2023-02-28 13:28:39.830495;Este;Comunidad de Regantes;TEC-0012;Red Agua Potable;2;2,6;5;90;-7;2;541256,0;613558,1;13,36;447992,0;23200,0;70064,0;72302,1;PE;110;23,2;6;2;46;0;;0;0;0;;0
HIDRO-2025-01249;2023-02-28 13:28:39.831764;Central;Privado;TEC-0005;Impermeabilización;1;1,1;5;72;0;0;292239,36;289405,98;-0,97;135138,96;27832,32;129268,08;-2833,38;;0;0,0;0;0;0;10872;vertederos;11959;0;0;;0
HIDRO-2025-01478;2023-03-01 13:28:39.835701;Sur;Industrial;TEC-0008;Red Agua Potable;1;2,8;5;14;-5;4;200604,0;229369,5;14,34;190894,4;2839,6;6870,0;28765,5;FD;150;4,58;1;1;9;0;;0;0;0;;0
HIDRO-2025-00482;2023-03-02 13:28:39.817948;Este;Comunidad de Regantes;TEC-0048;Riego Agrícola;1;2,5;3;10;-5;2;54582,9;75179,17;37,73;45203,8;150,0;9229,1;20596,27;;90;3,29;0;0;0;0;;0;6;1;;0
HIDRO-2025-00719;2023-03-02 13:28:39.822634;Este;Industrial;TEC-0033;Impermeabilización;2;2,1;2;105;0;1;325651,2;436323,08;33,98;150589,45;31014,4;144047,35;110671,88;;0;0,0;0;0;0;12115;vertederos;13327;0;0;;0
HIDRO-2025-00970;2023-03-02 13:28:39.826962;Central;Privado;TEC-0035;Reparación;2;2,0;3;18;-5;2;14451,13;16534,91;14,42;12870,7;387,81;1192,62;2083,78;PE;200;0,139;0;0;0;0;;0;0;0;Rotura;2
HIDRO-2025-00385;2023-03-03 13:28:39.816178;Sur;Municipal;TEC-0037;Reparación;1;1,9;5;13;-7;2;38789,52;39657,83;2,24;37054,26;573,62;1161,64;868,31;PE;250;0,257;0;0;0;0;;0;0;0;Refuerzo;1
HIDRO-2025-00014;2023-03-04 13:28:39.809649;Este;Comunidad de Regantes;TEC-0037;Riego Agrícola;1;1,8;5;10;-7;0;349385,0;299886,37;-14,17;327556,8;6455,4;15372,8;-49498,63;;250;3,39;0;0;0;0;;0;6;1;;0
HIDRO-2025-00226;2023-03-07 13:28:39.813428;Central;Comunidad de Regantes;TEC-0017;Red Agua Potable;1;2,9;1;70;-1;0;1040538,4;1468621,77;41,14;923238,8;28916,8;88382,8;428083,37;PE;160;23,32;6;2;46;0;;0;0;0;;0
HIDRO-2025-00681;2023-03-08 13:28:39.821974;Norte;Municipal;TEC-0034;Impermeabilización;2;2,0;3;80;0;1;249392,64;309476,84;24,09;115325,54;23751,68;110315,42;60084,2;;0;0,0;0;0;0;9278;vertederos;10206;0;0;;0
HIDRO-2025-00841;2023-03-08 13:28:39.824753;Este;Comunidad de Regantes;TEC-0042;Riego Agrícola;3;1,2;3;36;-3;1;1014755,0;1291399,3;27,26;951519,4;18508,2;44727,4;276644,3;;250;9,87;0;0;0;0;;0;19;1;;0
HIDRO-2025-01379;2023-03-08 13:28:39.833958;Central;Municipal;TEC-0029;Reparación;2;2,9;3;18;-5;2;6658,26;8423,83;26,52;6134,1;104,16;420,0;1765,57;FD;100;0,14;0;0;0;0;;0;0;0;Fuga;2
HIDRO-2025-00096;2023-03-09 13:28:39.811133;Oeste;Privado;TEC-0026;Red Agua Potable;1;2,0;1;101;-1;1;3435800,0;4898912,38;42,58;3221942,4;62347,2;151510,4;1463112,38;PE;250;33,52;10;3;67;0;;0;0;0;;0
HIDRO-2025-00613;2023-03-09 13:28:39.820397;Este;Municipal;TEC-0022;Impermeabilización;1;1,7;1;60;0;2;205820,99;270117,69;31,24;110666,2;23221,76;71933,03;64296,7;;0;0,0;0;0;0;9071;400gr;9978;0;0;;0
HIDRO-2025-01127;2023-03-10 13:28:39.829710;Norte;Comunidad de Regantes;TEC-0022;Riego Agrícola;1;1,3;3;15;-1;2;146629,4;131898,24;-10,05;121555,8;6330,0;18743,6;-14731,16;;110;6,18;0;0;0;0;;0;12;1;;0
HIDRO-2025-01161;2023-03-10 13:28:39.830277;Este;Industrial;TEC-0030;Impermeabilización;1;2,5;5;40;-7;2;159425,28;153236,2;-3,88;73722,33;15183,36;70519,59;-6189,08;;0;0,0;0;0;0;5931;vertederos;6524;0;0;;0
HIDRO-2025-00633;2023-03-12 13:28:39.820801;Norte;Privado;TEC-0027;Reparación;2;2,8;4;22;-6;3;6118,65;7274,77;18,9;4895,09;202,8;1020,76;1156,12;PE;110;0,169;0;0;0;0;;0;0;0;Fuga;2
HIDRO-2025-01033;2023-03-12 13:28:39.828063;Sur;Industrial;TEC-0029;Reparación;2;2,6;3;27;-5;4;66530,52;94254,21;41,67;64050,0;468,72;2011,8;27723,69;PE;315;0,21;0;0;0;0;;0;0;0;Sustitución;2
HIDRO-2025-00429;2023-03-13 13:28:39.816943;Central;Industrial;TEC-0035;Impermeabilización;1;1,7;1;17;0;0;52324,0;65742,95;25,65;25679,4;6502,4;20142,2;13418,95;;0;0,0;0;0;0;2540;200gr;2794;0;0;;0
HIDRO-2025-00100;2023-03-15 13:28:39.811210;Sur;Municipal;TEC-0041;Red Agua Potable;1;1,9;2;8;-3;1;290075,0;325760,33;12,3;272019,6;5263,8;12791,6;35685,33;PE;250;2,83;1;1;5;0;;0;0;0;;0
HIDRO-2025-00250;2023-03-15 13:28:39.813841;Sur;Privado;TEC-0001;Reparación;1;2,1;3;4;10;1;7424,76;10956,09;47,56;7197,12;78,12;149,52;3531,33;FD;200;0,084;0;0;0;0;;0;0;0;Rotura;1
HIDRO-2025-00546;2023-03-15 13:28:39.819061;Sur;Industrial;TEC-0013;Impermeabilización;1;2,6;4;52;-4;2;175302,94;215611,74;22,99;94257,2;19778,56;61267,18;40308,8;;0;0,0;0;0;0;7726;400gr;8499;0;0;;0
HIDRO-2025-00270;2023-03-16 13:28:39.814188;Oeste;Comunidad de Regantes;TEC-0048;Impermeabilización;3;2,0;4;17;-7;2;33021,8;38286,84;15,94;16206,33;4103,68;12711,79;5265,04;;0;0,0;0;0;0;1603;200gr;1763;0;0;;0
HIDRO-2025-00540;2023-03-16 13:28:39.818955;Sur;Privado;TEC-0013;Red Agua Potable;1;2,0;4;138;-5;2;1071080,3;1080401,18;0,87;886522,1;45910,0;138648,2;9320,88;PE;110;45,91;13;4;91;0;;0;0;0;;0
HIDRO-2025-00113;2023-03-17 13:28:39.811448;Oeste;Municipal;TEC-0007;Riego Agrícola;1;2,0;1;9;1;0;211659,2;267184,97;26,23;192455,7;5897,4;13306,1;55525,77;;200;3,09;0;0;0;0;;0;6;1;;0
HIDRO-2025-00251;2023-03-18 13:28:39.813864;Oeste;Privado;TEC-0017;Reparación;2;2,6;1;36;-1;3;56169,31;75366,95;34,18;53058,24;616,03;2495,04;19197,64;PE;250;0,276;0;0;0;0;;0;0;0;Sustitución;2
HIDRO-2025-00428;2023-03-18 13:28:39.816919;Sur;Comunidad de Regantes;TEC-0004;Red Agua Potable;1;1,7;5;2;-4;2;119362,5;121255,06;1,59;114375,0;1395,0;3592,5;1892,56;PE;315;0,75;1;1;1;0;;0;0;0;;0
HIDRO-2025-01288;2023-03-18 13:28:39.832437;Sur;Privado;TEC-0036;Red Agua Potable;1;1,4;2;61;0;3;3253026,0;3490203,31;7,29;3117100,0;38018,4;97907,6;237177,31;PE;315;20,44;6;2;40;0;;0;0;0;;0
HIDRO-2025-00044;2023-03-19 13:28:39.810182;Sur;Municipal;TEC-0008;Riego Agrícola;2;1,7;2;16;-2;3;213678,8;283307,26;32,59;189621,6;6027,6;18029,6;69628,46;;160;4,74;0;0;0;0;;0;9;1;;0
HIDRO-2025-00073;2023-03-19 13:28:39.810711;Este;Comunidad de Regantes;TEC-0011;Impermeabilización;1;1,5;3;111;-5;1;445912,32;449281,48;0,76;206201,27;42467,84;197243,21;3369,16;;0;0,0;0;0;0;16589;vertederos;18248;0;0;;0
HIDRO-2025-00584;2023-03-19 13:28:39.819866;Oeste;Industrial;TEC-0003;Red Agua Potable;2;2,8;4;143;-6;0;853644,7;1137326,33;33,23;706552,9;36590,0;110501,8;283681,63;PE;110;36,59;10;3;73;0;;0;0;0;;0
HIDRO-2025-00650;2023-03-19 13:28:39.821366;Central;Comunidad de Regantes;TEC-0035;Riego Agrícola;2;1,5;4;40;-5;0;205915,5;231203,75;12,28;170436,0;300,0;35179,5;25288,25;;90;12,55;0;0;0;0;;0;25;2;;0
HIDRO-2025-00724;2023-03-19 13:28:39.822722;Sur;Privado;TEC-0018;Impermeabilización;1;1,9;5;117;-7;2;397846,46;391593,25;-1,57;213914,8;44887,04;139044,62;-6253,21;;0;0,0;0;0;0;17534;400gr;19287;0;0;;0
HIDRO-2025-00171;2023-03-20 13:28:39.812482;Este;Industrial;TEC-0023;Red Agua Potable;2;1,2;1;52;1;1;1364275,0;1550934,91;13,68;1279357,2;24756,6;60161,2;186659,91;PE;250;13,31;3;1;26;0;;0;0;0;;0
HIDRO-2025-00656;2023-03-20 13:28:39.821524;Sur;Privado;TEC-0038;Reparación;2;2,5;4;34;-2;9;29953,18;41254,47;37,73;28816,92;196,42;939,84;11301,29;FD;250;0,264;0;0;0;0;;0;0;0;Refuerzo;2
HIDRO-2025-00919;2023-03-20 13:28:39.826096;Oeste;Comunidad de Regantes;TEC-0006;Red Agua Potable;1;2,6;1;12;-1;1;652515,0;978772,5;50,0;625250,0;7626,0;19639,0;326257,5;PE;315;4,1;1;1;8;0;;0;0;0;;0
HIDRO-2025-00979;2023-03-20 13:28:39.827119;Sur;Industrial;TEC-0025;Impermeabilización;3;1,1;4;84;-6;0;161936,6;197798,44;22,15;79474,71;20124,16;62337,73;35861,84;;0;0,0;0;0;0;7861;200gr;8647;0;0;;0
HIDRO-2025-01364;2023-03-20 13:28:39.833714;Oeste;Municipal;TEC-0007;Reparación;3;1,5;4;62;-5;2;153402,33;170843,59;11,37;148535,21;578,09;4289,04;17441,26;PE;500;0,259;0;0;0;0;;0;0;0;Refuerzo;3
HIDRO-2025-01373;2023-03-20 13:28:39.833863;Sur;Privado;TEC-0027;Impermeabilización;1;1,1;4;129;10;1;519671,04;521402,38;0,33;240309,19;49492,48;229869,37;1731,34;;0;0,0;0;0;0;19333;vertederos;21266;0;0;;0
HIDRO-2025-00710;2023-03-21 13:28:39.822478;Este;Industrial;TEC-0037;Riego Agrícola;1;2,1;2;33;-2;1;922228,8;1239048,32;34,35;838667,3;25428,6;58132,9;316819,52;;200;13,51;0;0;0;0;;0;27;2;;0
HIDRO-2025-00897;2023-03-21 13:28:39.825717;Este;Comunidad de Regantes;TEC-0045;Red Agua Potable;1;2,6;3;32;2;3;471187,2;565477,75;20,01;418070,4;13094,4;40022,4;94290,55;PE;160;10,56;3;1;21;0;;0;0;0;;0
HIDRO-2025-00984;2023-03-21 13:28:39.827205;Norte;Comunidad de Regantes;TEC-0014;Reparación;2;2,9;2;26;-3;2;13223,55;19835,32;50,0;12441,48;185,07;597,0;6611,77;FD;150;0,199;0;0;0;0;;0;0;0;Rotura;2
HIDRO-2025-01355;2023-03-21 13:28:39.833561;Norte;Comunidad de Regantes;TEC-0008;Red Agua Potable;1;1,7;1;138;1;1;4724225,0;6242499,92;32,14;4430170,8;85727,4;208326,8;1518274,92;PE;250;46,09;13;4;92;0;;0;0;0;;0
HIDRO-2025-00272;2023-03-22 13:28:39.814224;Este;Municipal;TEC-0012;Riego Agrícola;2;2,4;1;11;-1;2;262170,0;339435,73;29,47;245769,8;4874,4;11525,8;77265,73;;250;2,54;0;0;0;0;;0;5;1;;0
HIDRO-2025-00668;2023-03-22 13:28:39.821743;Norte;Industrial;TEC-0009;Riego Agrícola;1;2,3;2;31;0;3;566755,8;719957,65;27,03;502963,1;15911,6;47881,1;153201,85;;160;12,59;0;0;0;0;;0;25;2;;0
HIDRO-2025-00061;2023-03-23 13:28:39.810482;Este;Industrial;TEC-0049;Impermeabilización;1;2,3;2;78;-2;0;240463,8;333617,04;38,74;118014,03;29882,88;92566,89;93153,24;;0;0,0;0;0;0;11673;200gr;12840;0;0;;0
HIDRO-2025-00264;2023-03-23 13:28:39.814084;Sur;Privado;TEC-0024;Red Agua Potable;1;2,1;2;118;0;0;2951174,2;3905040,82;32,32;2856950,2;24341,2;69882,8;953866,62;FD;250;39,26;11;3;78;0;;0;0;0;;0
HIDRO-2025-00790;2023-03-23 13:28:39.823873;Norte;Industrial;TEC-0039;Red Agua Potable;2;2,8;2;122;-2;1;3219525,0;4829287,5;50,0;3019129,2;58422,6;141973,2;1609762,5;PE;250;31,41;9;3;62;0;;0;0;0;;0
